Year,Game,Sold,Most Sold,Genre,Developer,link,Metacritic
1998,GoldenEye 007,8,11,First-person shooter,Rare,https://www.youtube.com/embed/MFmQFGhc-cU,96
1999,The Legend of Zelda: Ocarina of Time,7.6,14.6,Action-adventure,Nintendo EAD,https://www.youtube.com/embed/_NElFLzgdUs,99
2000,Deus Ex,0.01,4.39,Action role-playing,Ion Storm,https://www.youtube.com/embed/ZpEoLH0cUSw,90
2001,Gran Turismo 3: A-Spec,15,15,Racing,Polyphony Digital,https://www.youtube.com/embed/WxkLuCE7QXQ,95
2002,Halo: Combat Evolved,6.5,15,First-person shooter,Bungie,https://www.youtube.com/embed/gey7fzDRo9k,97
2003,Call of Duty,4.50,7.20,First-person shooter,Infinity Ward,https://www.youtube.com/embed/ajTx5sUyXBg,91
2004,Grand Theft Auto: Vice City,17.5,27.50,Action-adventure,Rockstar North,https://www.youtube.com/embed/f_VBXRZuHTc,95
2005,Half-Life 2,2.37,21.00,First-person shooter,Valve,https://www.youtube.com/embed/UKA7JkV51Jw,96
2006,Tom Clancy's Ghost Recon Advanced Warfighter,1.60,82.00,Tactical shooter,Ubisoft Paris,https://www.youtube.com/embed/DKZjxoJyI8g,90
2007,BioShock,2.83,43.00,First-person shooter,Irrational Games,https://www.youtube.com/embed/Ymg2HzHF9-4,96
2008,Super Mario Galaxy,12.00,25.00,Platformer,Nintendo EAD,https://www.youtube.com/embed/rmN8DHZYNCg,97
2009,Batman: Arkham Asylum,4.25,33.00,Action-adventure,Rocksteady Studios,https://www.youtube.com/embed/T8bu2Y_cZb8,91
2010,Mass Effect 2,3.11,26.00,Action role-playing,BioWare,https://www.youtube.com/embed/lx9sPQpjgjU,94
2011,Portal 2,2.10,180.00,Puzzle-platformer,Valve,https://www.youtube.com/embed/tax4e4hBBZc,95
2012,Dishonored,1.70,30.00,Action-adventure,Arkane Studios,https://www.youtube.com/embed/-XbQgdSlsd0,91
2013,The Last of Us,6.00,120.00,Action-adventure,Naughty Dog,https://www.youtube.com/embed/W01L70IGBgE,95
2014,Destiny,5.50,31.00,Action role-playing,Bungie,https://www.youtube.com/embed/clRpcIHpmoY,76
2015,Fallout 4,7.00,28.00,Action role-playing,Bethesda Game Studios,https://www.youtube.com/embed/X5aJfebzkrM,84
2016,Uncharted 4: A Thief's End,4.20,25.00,Action-adventure,Naughty Dog,https://www.youtube.com/embed/hh5HV4iic1Y,93
2017,What Remains of Edith Finch,0.05,60.00,Adventure,Giant Sparrow,https://www.youtube.com/embed/S0kKF5f8nS0,88
2018,God of War,10.00,29.00,Action-adventure,SIE Santa Monica Studio,https://www.youtube.com/embed/CJ_GCPaKywg,94
